,APPLICATION_STATUS,QUEUE_ID,CURRENT_STAGE,MARITAL_STATUS,GENDER,AGE,EDUCATION,RESIDENCE_TYPE,EMPLOY_CONSTITUTION,PAN_STATUS,CIBIL_SCORE,APPLICATION_SCORE,RESIDENTIAL_ADDRESS_SCORE,OFFICE_ADDRESS_SCORE,APPLIED_AMOUNT,LOAN_TENOR,PRIMARY_ASSET_CTG,PRIMARY_ASSET_MAKE,PRIMARY_ASSET_MODELNO,VOTER_ID,DRIVING_LICENSE,AADHAAR,PAN,BANK_PASSBOOK,APPLIED_AMOUNT_TRANS
0,Declined,Straight  Through Process,PD_DE,Single,Male,30,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,734,69,86.5,90.8,28000,10,REF,SAMSUNG,RT30K3723S8/HL,F,F,T,F,F,167
1,Approved,Straight  Through Process,PD_DE,Married,Male,38,OTHERS,OWNED,SELF-EMPLOYED,Pan Not Submitted,840,108,78.63,81.72,47000,12,TELEVISION,SONY,KLV-29P423D,F,T,F,F,F,217
2,Approved,Straight  Through Process,PD_DE,Married,Male,52,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,863,143,73.86,71.11,30000,12,AIR CONDITIONER,ELECTROLUX,AIR CONDITIONER VANILLA,F,T,F,F,F,173
3,Declined,Under.Writer,DCLN,Married,Male,57,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,-10,60,80.67,55.91,49000,12,HOME THEATRE,TARGET,K1110 FM,F,F,T,F,F,221
4,Approved,Straight  Through Process,APRV,Married,Male,38,GRADUATE,OWNED,SALARIED,ERROR,797,62,82.95,69.51,45000,10,AC,ELECTROLUX,ES18T5C,F,F,F,T,F,212
5,Approved,Under.Writer,APRV,Married,Male,43,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,770,92,0.0,62.61,30000,12,LED_TV,LG,32LH576D,F,F,T,F,F,173
6,Declined,Straight  Through Process,PD_DE,Married,Male,28,UNDER GRADUATE,OWNED,SELF-EMPLOYED,ERROR,0,3,82.49,68.46,49000,12,AIR CONDITIONER,SAMSUNG,AR24MV3HETSNNA,F,F,T,T,F,221
7,Approved,Under.Writer,APRV,Single,Male,30,GRADUATE,OWNED,SALARIED,ERROR,786,74,73.13,62.77,13000,12,REF,GODREJ,RB EON NXW 380 SD COSMOS,F,F,F,T,F,114
8,Declined,Straight  Through Process,PD_DE,Married,Male,30,POST-GRADUATE,RENTED,SALARIED,ERROR,740,104,0.0,67.47,28000,10,REF,GODREJ,RT EON 241 P 3.4 Silver meadow,F,F,F,T,F,167
9,Approved,Straight  Through Process,PD_DE,Single,Male,23,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,774,35,79.71,0.0,20000,12,AC,WHIRLPOOL,WM ROYALE 6512SD-WINE CHROME TINTED,F,F,T,T,F,141
10,Approved,Straight  Through Process,PD_DE,Single,Male,23,POST-GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,779,68,80.62,53.51,30000,10,AIR CONDITIONER,HAIER,AIR CONDITIONER VANILLA,F,F,T,F,F,173
11,Declined,Straight  Through Process,PD_DE,Married,Male,41,OTHERS,OWNED,SELF-EMPLOYED,ERROR,0,8,81.71,77.03,25000,12,REF,WHIRLPOOL,REFRIGERATORS VANILLA,F,F,T,T,F,158
12,Approved,Straight  Through Process,PD_DE,Married,Male,32,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,784,47,70.73,72.18,45000,12,AIR CONDITIONER,SAMSUNG,AR18MV5HETSNNA,F,F,T,T,F,212
13,Approved,Straight  Through Process,APRV,Single,Male,29,UNDER GRADUATE,RENTED,SALARIED,ERROR,-10,13,0.0,0.0,69000,12,LED_TV,SONYNEW,KDL48W608B/1IN5,T,F,T,T,F,263
14,Declined,Straight  Through Process,PD_DE,Married,Male,36,OTHERS,OWNED,SALARIED,ERROR,740,53,92.66,0.0,25990,10,LED_TV,HAIER,LE42B9000,F,F,T,T,F,161
15,Approved,Straight  Through Process,APRV,Married,Male,34,OTHERS,OWNED,SALARIED,ERROR,785,61,0.0,0.0,100000,24,LED_TV,LG,32LN4900,F,F,F,T,F,316
16,Approved,Straight  Through Process,PD_DE,Married,Male,34,GRADUATE,OWNED,SALARIED,ERROR,782,91,93.94,0.0,35000,10,REF,WHIRLPOOL,REFRIGERATORS VANILLA,F,F,T,T,F,187
17,Approved,Straight  Through Process,APRV,Married,Female,43,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,781,75,63.87,59.66,100000,10,AIR CONDITIONER,LG,JS-Q12NRXA,F,F,F,T,F,316
